INFO: Listening on port 8080
INFO: Serving static files from /app/public
INFO: Starting up Iodine:
 * Iodine 5.2.1
 * Ruby 4.0.3
 * facil.io 0.7.4 (epoll)
 * 127 Workers X 1 Threads per worker.
 * Maximum 131056 open files / sockets per worker.
 * Master (root) process: 1.

INFO: Server is running 127 workers X 1 thread with facil.io 0.7.4 (epoll)
* Detected capacity: 131056 open file limit
* Root pid: 1
* Press ^C to stop

INFO: 9 is running.
INFO: 13 is running.
INFO: 17 is running.
INFO: 21 is running.
INFO: 25 is running.
INFO: 29 is running.
INFO: 33 is running.
INFO: 37 is running.
INFO: 41 is running.
INFO: 46 is running.
INFO: 51 is running.
INFO: 56 is running.
INFO: 65 is running.
INFO: 70 is running.
INFO: 75 is running.
INFO: 80 is running.
INFO: 85 is running.
INFO: 90 is running.
INFO: 96 is running.
INFO: 101 is running.
INFO: 105 is running.
INFO: 111 is running.
INFO: 116 is running.
INFO: 120 is running.
INFO: 125 is running.
INFO: 130 is running.
INFO: 135 is running.
INFO: 140 is running.
INFO: 145 is running.
INFO: 151 is running.
INFO: 156 is running.
INFO: 161 is running.
INFO: 165 is running.
INFO: 170 is running.
INFO: 175 is running.
INFO: 182 is running.
INFO: 187 is running.
INFO: 192 is running.
INFO: 196 is running.
INFO: 201 is running.
INFO: 205 is running.
INFO: 210 is running.
INFO: 215 is running.
INFO: 220 is running.
INFO: 226 is running.
INFO: 231 is running.
INFO: 236 is running.
INFO: 241 is running.
INFO: 246 is running.
INFO: 251 is running.
INFO: 256 is running.
INFO: 261 is running.
INFO: 266 is running.
INFO: 271 is running.
INFO: 276 is running.
INFO: 281 is running.
INFO: 286 is running.
INFO: 291 is running.
INFO: 299 is running.
INFO: 303 is running.
INFO: 307 is running.
INFO: 311 is running.
INFO: 316 is running.
INFO: 321 is running.
INFO: 326 is running.
INFO: 331 is running.
INFO: 336 is running.
INFO: 341 is running.
INFO: 349 is running.
INFO: 353 is running.
INFO: 357 is running.
INFO: 362 is running.
INFO: 367 is running.
INFO: 372 is running.
INFO: 377 is running.
INFO: 382 is running.
INFO: 387 is running.
INFO: 392 is running.
INFO: 397 is running.
INFO: 402 is running.
INFO: 407 is running.
INFO: 412 is running.
INFO: 417 is running.
INFO: 422 is running.
INFO: 427 is running.
INFO: 432 is running.
INFO: 437 is running.
INFO: 442 is running.
INFO: 447 is running.
INFO: 452 is running.
INFO: 457 is running.
INFO: 462 is running.
INFO: 467 is running.
INFO: 472 is running.
INFO: 477 is running.
INFO: 482 is running.
INFO: 487 is running.
INFO: 492 is running.
INFO: 497 is running.
INFO: 502 is running.
INFO: 508 is running.
INFO: 513 is running.
INFO: 517 is running.
INFO: 523 is running.
INFO: 527 is running.
INFO: 532 is running.
INFO: 538 is running.
INFO: 548 is running.
INFO: 543 is running.
INFO: 552 is running.
INFO: 557 is running.
INFO: 567 is running.
INFO: 562 is running.
INFO: 572 is running.
INFO: 576 is running.
INFO: 582 is running.
INFO: 587 is running.
INFO: 592 is running.
INFO: 597 is running.
INFO: 602 is running.
INFO: 608 is running.
INFO: 613 is running.
INFO: 618 is running.
INFO: 622 is running.
INFO: 627 is running.
INFO: 632 is running.
INFO: 637 is running.
